File name,label,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Zero_Crossing_Rate,RMS_Energy,D1_Mean,D1_Std,D2_Mean,D2_Std,D3_Mean,D3_Std,A3_Mean,A3_Std,RMS_Envelope_Mean,Hilbert_Envelope_Mean,Max,Mean,Std,Median,Energy,Entropy,MaxFreq1,MaxFreq2,Unnamed: 38,Max.1,Mean.1,Std.1,Median.1,Energy.1,Entropy.1,MaxFreq1.1,MaxFreq2.1,Bispectrum Matrix,source_file
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2616.360104454472,0.1018022796114853,12.45311524807014,0.0,10243568.67537738,1.8856727664247304,1.0,1.0,,,,,,,,,,,118h_denoised_bispectrum_features.csv
,healthy,-240.441636205057,119.39012763620656,24.408708562343115,72.2029841324328,15.69945314580734,37.0041766069044,22.64500948481988,10.251246450068004,9.151131061059786,18.92751525057291,-2.043762696141866,8.033705348201963,2.7874368244847423,1663.9275179613687,3463.991071338616,3730.710287846482,0.0075803321561833,0.257409006357193,-3.5620341446213314e-06,0.0011161034841658,-0.0001196479667994,0.0140743979300691,-3.008193930228151e-07,0.0158563816447532,-0.0007895172206834,0.7544657236742512,0.2502491176128387,0.3291182518005371,,,,,,,,,,,,,,,,,,,118h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1076134840194e-05,119h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2940.555965888238,0.112795604680976,14.17617407989552,0.0,13274305.724953048,1.8522810985497344,1.0,1.0,,,,,,,,,,,119h_denoised_bispectrum_features.csv
,healthy,-244.45879951971585,125.71132749541816,30.17676343475898,70.94036203905125,17.88257685814029,35.264174801819806,24.34019831032645,7.801492884633008,8.509623785466017,16.560249078971133,-1.56349830545741,8.374258448986465,4.615352595254889,1449.076341464083,3256.5779941889164,3002.548640724947,0.0073814798773987,0.2672593593597412,-7.119032230962559e-07,0.0010734054511494,-4.190124682879053e-05,0.0125641096258655,0.0001533623440558,0.0144521723480331,0.000449907024001,0.7780335050620538,0.2605656385421753,0.3413654267787933,,,,,,,,,,,,,,,,,,,119h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005992060275766216,120h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595.8934580417126,0.09160685109027575,11.649625718805032,0.0,8964313.685814051,1.8219789339895855,1.0,1.0,,,,,,,,,,,120h_denoised_bispectrum_features.csv
,healthy,-251.20343749538705,117.83649220224588,29.516690642411,74.01010995779275,17.100409677323785,36.394782199807885,24.369688746343904,8.440528543046122,7.756432018524717,18.28472255332805,-2.2740323323024296,7.731244165405345,4.202710148915284,1694.1989202627062,3496.2054802638563,3805.970149253732,0.0083445079291044,0.2320639491081237,-2.1182991728077222e-06,0.0015090660703485,1.895338218330012e-05,0.0137188150259419,7.092863567309037e-05,0.0160168730403953,0.0053562750390885,0.6864437698732094,0.2250310629606247,0.2938944697380066,,,,,,,,,,,,,,,,,,,120h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001858276909141635,121h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2596.588920680172,0.11066144510773163,13.125986755009063,0.0,11380491.985313196,1.9388312015811,1.0,1.0,,,,,,,,,,,121h_denoised_bispectrum_features.csv
,healthy,-242.4956225548349,120.8250144494274,29.642586438685115,75.10818814764343,16.787895788609294,32.343441453984845,21.01611597920136,7.514306885308041,8.019661833558498,20.231122495632956,-2.269838545749106,7.847791757523364,4.956146968947747,1687.637114601936,3484.633234262304,3788.879264392324,0.0084777701892324,0.2448194622993469,2.55593985782748e-06,0.0017237269449208,5.1462735163563515e-09,0.0146092245328007,-0.0001113685851016,0.0177546730862817,-0.0023277718957864,0.7162378370630034,0.2387952208518982,0.3131951093673706,,,,,,,,,,,,,,,,,,,121h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00037628185418517074,122h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2758.2518045890342,0.14128844838076485,14.993978364873971,0.0,14850414.203840973,2.0979230638599,1.0,1.0,,,,,,,,,,,122h_denoised_bispectrum_features.csv
,healthy,-247.20922922518795,120.27711574283522,29.715042106479096,78.09997622948627,17.867380901669055,33.870837168855374,21.53044209244264,8.792012510909652,8.711255899000882,20.15253490202597,-3.469913952604532,6.991674244501413,4.096990888270587,1659.51787372248,3463.666056934791,3809.918043710021,0.0084631946295309,0.2366242557764053,-1.4783541917147665e-06,0.0014147330248858,-2.0528426712625155e-05,0.0148093389449543,0.0003902897872183,0.0171631239513223,0.0041294764499321,0.6922034593786616,0.2311988323926925,0.3015639185905456,,,,,,,,,,,,,,,,,,,122h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000516366597118714,123h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.075859473539,0.06875570731557032,7.256518586141261,0.0,3478258.524005511,2.19115051028241,1.0,1.0,,,,,,,,,,,123h_denoised_bispectrum_features.csv
,healthy,-238.9945300480021,116.56673288309734,26.51902386417463,75.36915471818739,14.94555661672,34.54045125663033,21.26657138813413,9.059174706236552,6.14150204154984,19.1489957669066,-3.282059317400376,7.217257297637277,3.700142517524955,1886.294327158027,3654.1781653519447,4374.3170309168445,0.0094668260261194,0.240385353565216,-5.9496268392895e-07,0.002137801359167,1.2033135897627447e-05,0.0166110064378138,0.0002797072528923,0.0192371190324067,-0.0026010713908177,0.7117434218004881,0.2349182367324829,0.3092707693576813,,,,,,,,,,,,,,,,,,,123h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014736040043383323,124h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.98420044566564,0.023442316989928966,1.1808929829927803,0.0,92142.17127868712,5.709447112162523,0.0,1.0,,,,,,,,,,,124h_denoised_bispectrum_features.csv
,healthy,-148.04116904932982,90.42131367545268,-3.9642804178399,51.717609320132176,-12.860665733429204,18.23088746593655,4.084634582188489,-1.2706712488162226,-4.800163206327132,16.99545188886908,-6.070635943651199,11.395882844549238,6.834714736114052,4743.262951711332,4727.759964045992,9422.474680170577,0.0614974097148187,0.1246624216437339,-3.927828810643502e-06,0.0076126261724698,-4.42380147472468e-05,0.0612875894814199,-0.0008651243876366,0.0710128283132,-0.004308862669753,0.4000327745571571,0.1218489632010459,0.1573015004396438,,,,,,,,,,,,,,,,,,,124h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036804910774638575,125h_denoised_bispectrum.csv
